stock,volume
TWO,141445
CVA,38199
SUBCY,1055
KNKT,3900
JKHY,15519
CVD,2493
NNN.PR.E,1
CVC,161181
NNN.PR.D,396
CVE,46757
NWUC,100
TWX,275447
CVG,5256
CVI,22140
BIR.PR.A,873
CVM,3300
CVO,15735
GSAT,70925
CVR,600
CVT,20
CVS,350039
CVV,2852
CVU,1000
CVX,231310
TXI,16288
CVY,6935
SVFC,709000
HEES,233
ZIXI,22090
RSCO,4270
TXN,539193
BCSB,200
CWB,64753
TXT,80279
CWI,3616
CWH,11067
SEED,1500
BCRX,15382
MTUM,7
SEEK,2403986
TYC,60787
CWT,2644
HEDJ,15287
TYG,8741
UOVEY,132
MTSL,40
MTSN,5500
TYL,4658
TYN,1784
MCRI,1671
THGA,90
TYO,1950
CXA,721
CXE,34648
CXH,12408
MCRS,11982
MCRL,5432
TYY,4941
BDVSY,18
BTUI,1000
CXM,70930
TZA,946678
CXP,18244
CXO,85577
TZE,360
TZD,4741
TZG,568
TZI,494
ALSMY,1621
CXW,21761
TZL,1080
TZO,282
CYB,513
CYD,632
TZW,2682
TZV,1769
TZY,518
SEGI,250000
ALBKY,458118
CYH,90104
CYN,2727
CYS,78691
CYT,5875
GBCI,17416
VNOD,2782
KNOP,135
CZA,2347
SEFE,5499
CZR,18130
GBDC,13031
RBCN,5935
CZZ,70663
XTXI,10867
LEN.B,768
EMBB,802
SEIC,24679
THLD,11699
AQUM,3870300
EMBR,3000
GBGD,1000
PMBC,14401
BKJAY,25
PNPFF,22300
GBEN,50000
ALBMP,42
DEMBF,308
VNQI,12410
MZDAF,200
PMCM,3236666
BCYP,25000
PMCS,38489
GS.PR.J,1690
GSJK,903
EMDI,40
VNO.PR.L,1776
VNO.PR.K,1597
VNTV,48864
VNO.PR.J,3250
VNO.PR.I,492
VNO.PR.G,1332
HELE,1961
SVMI,45000
TYPE,2788
TLSNY,133
EMCB,3700
EMCD,201
EMCF,400
GSIG,228
PMBS,108000
EMCG,1260
EMCI,757
TI.A,658
DSEEY,1501
GS.PR.D,3389
GS.PR.B,3310
GS.PR.C,200
GS.PR.I,1348
GSIT,28217
GS.PR.A,4006
SVLC,36745
UAM,959
HEMP,7135929
UAL,112143
UAN,5132
RBIZ,5000
SEMG,54540
GBRRF,2400
RYDBF,863
EMFM,326
EMFN,750
DJCO,6
HENC,1000
UBA,6445
EMFT,422
UBC,280
PMFG,83
UBP,4
UBR,1156
UBT,12002
UBS,139369
DAC,200
LGSXY,100
SELF,1238
LNGLF,900
DAL,754619
RYDAF,831
THOR,11974
DAN,32929
JSAIY,550
DAR,28375
UCC,12
EMES,5443
FRFHF,214
UCI,328
EMEY,2
UCO,264618
THRD,600
DBA,119113
UCP,28
DBC,61324
DBB,42642
DBE,114813
DBD,57605
THRM,29967
THRK,3121
DBL,1687
DBO,4880
DBP,12100
DBS,1500
DBU,777
HEPI,7500
TYTN,4333
DBV,1145
THRX,39579
UDN,1928
UDR,54951
STPFQ,46354
DCA,18267
CESDF,100
DCE,8100
DCI,15544
CXDC,11245
DCM,8997
DCO,1238
UEC,9853
IACAF,19220
DCT,109276
HVPW,360
GBLI,1007
HEOP,407
PPERY,3712
DDC,12333
DDE,1294
GSPI,514000
DDD,233331
DDF,106
EMJI,82000
CXEE,200
DDM,40800
HERB,200
THTI,1650
DDP,230
GSPT,375
DDS,241230
DDR,97806
UFI,4144
HERO,214460
UFS,16755
DEF,7379
EMIF,2410
DEG,4005
GSOL,2520
MUAE,820
DEJ,35510
MUAF,227
MTSXY,1000
DEI,28558
DEL,25
JCTCF,400
DEM,78864
MUAC,5
UGA,2821
DEO,43482
MUAD,31
EMIS,600
DES,3595
UGI,18968
DEX,8510
DEW,436
RSOL,112925
GBNK,607
UGL,16763
UGP,13000
DFE,47531
NGEN,200
THVB,300
DFJ,2888
MDBX,15593
LRAD,3848
EMLP,18245
DFP,566
DFS,146032
MDCA,28481
CGEN,20419
DFT,26243
DFZ,416
MDCI,5218
UHN,749
BDBD,7308
MDCE,1
SGLRF,8575
AA,988756
UHT,4423
AB,17824
UHS,18834
AE,502
AF,65696
AG,175342
SOCGP,100
AH,52901
DGI,30175
AI,5602
DGL,721
MDAV,10990
AL,12597
DGP,10243
AN,45892
MDAS,7545
BDCS,4406
EMKR,4980
AP,963
DGT,530
AGESY,102
DGS,27172
AR,24152
BDCO,74
AT,56194
AU,142152
DGX,104506
BDCL,4878
AV,4770
DGZ,8053
ARAY,13723
UIL,24046
BDCG,5
ARESF,1
UIS,12141
BA,172413
EMLC,23882
ARCP,165662
BC,13063
STRZA,34988
DHG,11632
DHF,21304
ARCO,32750
DHI,524179
BG,11807
BH,42
RSSS,125
ARCI,402
BK,289022
BP,291124
DHS,6056
ARCC,109370
DHR,138022
BR,20346
RSTI,1353
DHT,23244
BT,2937
BV,3313
DHY,65620
PMNA,336
DHX,8036
BX,428763
LRCX,105260
EXPGY,1100
SEVA,966
ARBV,502
LABL,957
DIA,1519104
CA,114126
CB,35636
CE,17267
NXHD,6000
DIG,4085
CF,20569
CG,2095
CH,4426
CI,57475
MDCO,7527
DIN,1002
LUNMF,13
DIM,113
CL,130419
EXPGF,360
CM,11008
CO,4301
CP,37123
EMMS,6655
ARDC,12103
DIT,4
DIS,488881
CR,5776
CWYUF,120
CS,65476
DIV,1222
UKF,20
CU,9356
MDDD,25070
UKK,4
CW,20705
CX,993690
CY,80266
SVVC,3157
ARCX,700
ARCW,10181
DB,88607
DD,285957
UKW,100
DE,448675
DF,23734
LACO,5822
SVXY,36838
DG,1342472
DK,48796
FNMAT,500
DL,2441
DM,36125
DO,329782
DJP,18278
CGIX,4283
DQ,3425
HVYW,1000
FNMAJ,1000
DV,4969
DW,3447
DX,25165
FNMAG,100
DY,5591
WREI,956
MDGN,1650
EA,292977
NVEEW,1221
EDVMF,3700
EC,18922
GRBMF,29
ED,165685
EE,1796
LHHMQ,8251
WABC,2477
DKL,2275
EJ,185839
MDFZF,800
HEWA,49403
LRDC,5000
EL,37284
UMC,50418
DKT,1527
DKS,27025
AADR,2056
EU,322
FPRX,5319
EV,19660
UMH,6427
EW,18926
GSVC,35841
DLA,604
AREX,9784
DLB,10539
FB,3809756
FC,627
BDGE,845
FE,193655
FF,5804
ARGT,310
UMX,670
VOCS,1330
FI,4147
GSXN,5000
FL,73016
FM,31952
DLN,1788
FN,999
KODK,2615
DLS,6007
DLR,101433
FR,16434
UNF,1915
UNH,213883
FT,1334
UNG,436492
DLX,11023
UNL,1941
RSXJ,267
UNM,54287
BRPIF,500
UNP,194245
NGLE,1
DMB,6147
DMD,3859
GA,27588
UNT,3563
GB,559
UNS,27888
DMF,13113
GD,90571
GE,2461658
GF,5743
GG,574924
WRES,28908
AAGC,700
GK,399
GM,688365
DMO,5418
GS,201756
GT,127873
GV,6668
GY,97426
XUII,13333
HA,28933
DNB,19349
GUKYF,1669
HD,278058
MDHI,105000
